Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"200 Glenforest Dr, Halifax",Primary market,1968,18,18,,,,,"2023: $2,058,000; 2022: $1,709,000; 2021: $1,408,700; 2020: $1,369,700; 2019: $1,367,800",,2050025.01,B3M,Mainland North,Halifax
"200 Royale Blvd, Dartmouth",Primary market,2012,83,83,,,,,"2023: $18,984,100; 2022: $19,208,400; 2021: $18,183,300; 2020: $18,835,300; 2019: $17,602,300",,2050100.00,B2W,Dartmouth South,Halifax
"200 Spencer Ave, Halifax",Primary market,1966,6,6,,1,Renovation,2021,"2023: $493,300; 2022: $407,200; 2021: $366,100; 2020: $320,400; 2019: $338,000","2021: $110,000 (2 parcels in sale)",2050015.00,B3R,Mainland South,Halifax
"200 Willett St, Halifax",Primary market,1969,126,126,,,,,"2023: $12,444,300; 2022: $10,270,800; 2021: $7,991,400; 2020: $7,640,900; 2019: $7,234,600","2021: $20,250,000 (1 parcel in sale)",2050025.01,B3M,Mainland North,Halifax
"2009 N Park St, Halifax",Primary market,1910,14,14,,,,,"2023: $722,000; 2022: $754,100; 2021: $674,600; 2020: $679,900; 2019: $600,500",,2050009.00,B3K,Peninsula South,Halifax
"201 Windmill Rd, Dartmouth",Primary market,1969,12,12,,,,,"2023: $1,138,400; 2022: $1,005,600; 2021: $876,200; 2020: $787,300; 2019: $841,100",,2050111.00,B3A,Dartmouth North,Halifax
"2010 Creighton St, Halifax",Primary market,,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400",,2050009.00,B3K,Peninsula South,Halifax
"2013 Creighton St, Halifax",Primary market,1989,4,4,,,,,"2023: $549,100; 2022: $508,300; 2021: $489,600; 2020: $467,000; 2019: $458,400",,2050009.00,B3K,Peninsula South,Halifax
"2013 N Park St, Halifax",Primary market,,10,10,,,,,"2023: $769,700; 2022: $688,700; 2021: $628,000; 2020: $520,700; 2019: $525,800",,2050009.00,B3K,Peninsula South,Halifax
"2029 N Park St, Halifax",Boarding house,,,,,,,,,,2050009.00,B3K,Peninsula South,Halifax
"203 Herring Cove Rd, Halifax",Primary market,1967,8,8,,,,,"2023: $560,400; 2022: $542,700; 2021: $484,400; 2020: $426,500; 2019: $453,700","2021: $825,000 (1 parcel in sale)",2050015.00,B3P,Mainland South,Halifax
"2040 Creighton St, Halifax",Primary market,1940,6,6,,,,,"2023: $755,800; 2022: $661,000; 2021: $581,200; 2020: $552,400; 2019: $540,300",,2050009.00,B3K,Peninsula South,Halifax
"2055 N Park St, Halifax",Primary market,1900,5,5,,,,,"2023: $686,400; 2022: $635,400; 2021: $612,000; 2020: $583,800; 2019: $573,000",,2050009.00,B3K,Peninsula South,Halifax
"206 Spencer Ave, Halifax",Primary market,1970,6,6,,1,Renovation,2021,"2023: $493,300; 2022: $407,200; 2021: $366,100; 2020: $320,400; 2019: $338,000","2021: $110,000 (2 parcels in sale)",2050015.00,B3R,Mainland South,Halifax
"2060 Quingate Pl, Halifax",Primary market,1978,233,233,,1,Renovation,2021,"2023: $39,815,500; 2022: $34,197,900; 2021: $33,095,200; 2020: $31,543,100; 2019: $30,388,800",,2050011.00,B3L,Peninsula North,Halifax
"2061 N Park St, Halifax",Primary market,1900,5,5,,,,,"2023: $686,400; 2022: $635,400; 2021: $612,000; 2020: $583,800; 2019: $573,000",,2050009.00,B3K,Peninsula South,Halifax
"2065 Brunswick St, Halifax",Primary market,1986,119,119,,1,Renovation,2021,"2023: $14,676,400; 2022: $16,923,300; 2021: $14,506,600; 2020: $13,820,800; 2019: $12,078,000","2020: $38,926,243 (9 parcels in sale)",2050009.00,B3K,Peninsula South,Halifax
"2074 Beech St, Halifax",Primary market,1962,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050011.00,B3L,Peninsula North,Halifax
"2074 Robie St, Halifax",Primary market,1978,130,130,,,,,"2023: $19,313,000; 2022: $17,442,600; 2021: $13,627,700; 2020: $13,054,500; 2019: $12,676,300",,2050011.00,B3K,Peninsula North,Halifax
"2078 Poplar St, Halifax",Primary market,1967,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050011.00,B3L,Peninsula North,Halifax
"2083 Oxford St, Halifax",Primary market,1925,7,7,,,,,"2023: $1,299,600; 2022: $1,134,800; 2021: $1,049,200; 2020: $952,600; 2019: $930,200",,2050011.00,B3L,Peninsula North,Halifax
"209 Bedford Hwy, Halifax",Primary market,,8,8,,,,,"2023: $981,800; 2022: $886,500; 2021: $908,300; 2020: $686,000; 2019: $618,400","2020: $1,430,000 (1 parcel in sale)",2050026.02,B3M,Mainland North,Halifax
"21 Albert St, Dartmouth",Primary market,1970,59,59,,,,,"2023: $5,605,900; 2022: $4,489,200; 2021: $4,477,400; 2020: $3,728,900; 2019: $3,868,400","2022: $29,700,000 (5 parcels in sale)",2050102.00,B2Y,Dartmouth South,Halifax
"21 Bedford Hills Rd, Bedford",Primary market,1975,27,27,,,,,"2023: $2,922,900; 2022: $2,768,000; 2021: $2,510,100; 2020: $2,258,300; 2019: $2,091,100",,2050123.06,B4A,Bedford,Halifax
"21 Birch St, Halifax",Primary market,1968,6,6,,,,,"2023: $532,300; 2022: $505,900; 2021: $510,600; 2020: $487,500; 2019: $412,200",,2050024.00,B3N,Mainland North,Halifax
"21 Chadwick Pl, Halifax",Primary market,1984,41,41,,,,,"2023: $4,526,200; 2022: $3,759,500; 2021: $3,112,100; 2020: $3,040,400; 2019: $2,991,200",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"21 Erskine St, Dartmouth",Primary market,1950,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050102.00,B2Y,Dartmouth South,Halifax
"21 Evans Ave, Halifax",Primary market,1985,17,17,,,,,"2023: $1,150,700; 2022: $1,072,500; 2021: $1,059,200; 2020: $1,048,900; 2019: $989,300",,2050025.02,B3M,Mainland North,Halifax
"21 Ford St, Halifax",Primary market,1969,40,40,,,,,"2023: $2,293,000; 2022: $2,093,300; 2021: $2,100,400; 2020: $2,260,200; 2019: $2,128,500",,2050025.02,B3M,Mainland North,Halifax
"21 Gebhardt St, Halifax",Primary market,1965,6,6,,,,,"2023: $532,300; 2022: $505,900; 2021: $510,600; 2020: $487,500; 2019: $412,200",,2050025.01,B3M,Mainland North,Halifax
"21 Highfield Park Dr, Dartmouth",Primary market,1988,71,71,,,,,"2023: $7,658,900; 2022: $7,131,100; 2021: $6,676,500; 2020: $5,346,600; 2019: $5,241,700",,2050114.00,B3A,Dartmouth North,Halifax
"21 Main Ave, Halifax",Primary market,1988,14,14,,,,,"2023: $1,008,500; 2022: $946,700; 2021: $878,000; 2020: $711,300; 2019: $615,900","2020: $1,100,000 (1 parcel in sale)",2050025.02,B3M,Mainland North,Halifax
"21 McPherson Rd, Fall River",Primary market,1973,8,8,,,,,"2023: $1,030,500; 2022: $939,800; 2021: $903,000; 2020: $929,900; 2019: $864,200",,2050130.02 (2006-2010); 2050130.03 (2011-2022),,Remainder of CMA,Halifax
"21 Meadowbrook Dr, Bedford",Primary market,1970,21,21,,,,,"2023: $2,347,200; 2022: $2,222,800; 2021: $1,964,100; 2020: $1,831,800; 2019: $1,661,100",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
"21 Parkland Dr, Halifax",Primary market,2002,98,98,,,,,"2023: $16,833,000; 2022: $14,860,100; 2021: $15,413,600; 2020: $15,333,000; 2019: $14,422,900",,2050026.01 (2006-2010); 2050026.05 (2011-2022),B3S,Mainland North,Halifax
"21 Plateau Crescent, Halifax",Primary market,1978,41,41,,1,Renovation,2022,"2023: $4,597,900; 2022: $4,039,800; 2021: $3,657,300; 2020: $3,656,800; 2019: $3,474,300",,2050025.01,B3M,Mainland North,Halifax
"210 Glenforest Dr, Halifax",Primary market,1968,26,26,,,,,"2023: $2,972,600; 2022: $2,468,500; 2021: $2,040,600; 2020: $1,978,500; 2019: $1,936,200",,2050025.01,B3M,Mainland North,Halifax
"210 Wentworth Dr, Halifax",Primary market,2019,112,112,,,,,"2023: $25,905,900; 2022: $25,739,400; 2021: $23,484,500; 2020: $23,400,000; 2019: $10,150,000",,2050026.02,B3M,Mainland North,Halifax
"2103 Windsor St, Halifax",Primary market,1959,8,8,,,,,"2023: $2,005,600; 2022: $1,814,800; 2021: $1,982,600; 2020: $1,820,900; 2019: $1,775,300","2022: $2,125,000 (1 parcel in sale)",2050011.00,B3K,Peninsula North,Halifax
"211 Harlington Crescent, Halifax",Primary market,1978,26,26,,,,,"2023: $2,883,700; 2022: $2,395,000; 2021: $1,982,100; 2020: $1,934,100; 2019: $1,908,100",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"211 Willett St, Halifax",Primary market,1973,108,108,,,,,"2023: $18,282,100; 2022: $15,726,600; 2021: $13,586,600; 2020: $12,596,300; 2019: $11,845,500",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"2114 Creighton St, Halifax",Primary market,1990,4,4,,,,,"2023: $764,400; 2022: $722,800; 2021: $683,000; 2020: $467,000; 2019: $458,400","2020: $920,000 (1 parcel in sale)",2050009.00,B3K,Peninsula South,Halifax
"2118 Creighton St, Halifax",Primary market,,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400",,2050009.00,B3K,Peninsula South,Halifax
"2137 E Petpeswick Rd, East Petpeswick",Boarding house,,,,,,,,,,2050153.00,,Remainder of CMA,Halifax
"214 Harlington Crescent, Halifax",Primary market,1978,24,24,,,,,"2023: $2,667,700; 2022: $2,215,700; 2021: $1,833,500; 2020: $1,788,300; 2019: $1,765,700",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"214 Nadia Dr, Dartmouth",Primary market,2017,60,60,,,,,"2023: $10,293,000; 2022: $9,722,900; 2021: $9,339,200; 2020: $9,946,400; 2019: $8,987,300",,2050112.00,B3A,Dartmouth North,Halifax
"214 Spencer Ave, Halifax",Primary market,1970,6,6,,,,,"2023: $428,200; 2022: $416,500; 2021: $374,100; 2020: $328,200; 2019: $346,900","2022: $1,125,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"2141 Quinn St, Halifax",Primary market,1985,8,8,,,,,"2023: $1,181,000; 2022: $1,030,200; 2021: $1,212,900; 2020: $1,083,600; 2019: $1,101,100",,2050013.00,B3L,Peninsula South,Halifax
"2155 Monastery Lane, Halifax",Primary market,1978,97,97,,,,,"2023: $16,915,500; 2022: $14,671,200; 2021: $14,129,400; 2020: $13,459,200; 2019: $12,513,600",,2050011.00,B3L,Peninsula North,Halifax
"2157 Connaught Ave, Halifax",Primary market,1940,4,4,,,,,"2023: $659,400; 2022: $600,600; 2021: $568,600; 2020: $543,500; 2019: $522,400",,2050011.00,B3L,Peninsula North,Halifax
"216 Nadia Dr, Dartmouth",Primary market,2015,39,39,,,,,"2023: $6,763,100; 2022: $6,459,100; 2021: $6,272,900; 2020: $6,573,100; 2019: $6,073,000",,2050112.00,B3A,Dartmouth North,Halifax
"216 Victoria Rd, Dartmouth",Primary market,1989,13,13,,,,,"2023: $1,258,500; 2022: $1,179,600; 2021: $1,236,900; 2020: $994,800; 2019: $974,900",,2050109.00,B3A,Dartmouth North,Halifax
"216 Windmill Rd, Dartmouth",Primary market,1961,6,6,,,,,"2023: $505,400; 2022: $437,800; 2021: $418,100; 2020: $357,800; 2019: $354,300","2022: $500,000 (1 parcel in sale)",2050111.00,B3A,Dartmouth North,Halifax
"217 Victoria Rd, Dartmouth",Primary market,1952,4,4,1,,,,"2023: $284,400; 2022: $268,400; 2021: $220,300; 2020: $228,900; 2019: $224,600",,2050111.00,B3A,Dartmouth North,Halifax
"2170 Barrington St, Halifax",Boarding house,,,,,,,,,,2050009.00,B3K,Peninsula South,Halifax
"2172 Gottingen St, Halifax",Primary market,2021,41,41,,,,,"2023: $9,233,200; 2022: $7,552,000; 2021: $1,785,000; 2020: $1,338,400; 2019: $215,600",2021: $0 (1 parcel in sale),2050010.00,B3K,Peninsula North,Halifax
"218 Basswood Run, Dartmouth",Primary market,2022,160,160,,,,,"2023: $41,081,500; 2022: $35,150,000; 2021: $5,840,000; 2020: $3,072,600; 2019: $1,105,000",,2050104.03,B2W,Dartmouth East,Halifax
"218 Bedford Hwy, Halifax",Primary market,1980,36,36,,,,,"2023: $3,033,800; 2022: $2,761,600; 2021: $2,575,500; 2020: $2,495,300; 2019: $2,553,300",,2050026.02,B3M,Mainland North,Halifax
"22 Bedros Lane, Halifax",Primary market,2007,72,72,,,,,"2023: $14,308,900; 2022: $14,110,800; 2021: $12,386,900; 2020: $10,948,400; 2019: $10,718,300",,2050027.00,B3M,Mainland North,Halifax
"22 Evans Ave, Halifax",Primary market,1967,12,12,,,,,"2023: $803,000; 2022: $769,800; 2021: $781,400; 2020: $708,900; 2019: $699,600",,2050025.02,B3M,Mainland North,Halifax
"22 Ford St, Halifax",Primary market,1977,6,6,,,,,"2023: $470,000; 2022: $451,100; 2021: $456,100; 2020: $420,800; 2019: $365,200","2020: $570,000 (1 parcel in sale)",2050025.02,B3M,Mainland North,Halifax
"22 High St, Dartmouth",Primary market,1964,16,16,,,,,"2023: $877,100; 2022: $887,200; 2021: $1,053,300; 2020: $876,400; 2019: $993,500","2019: $885,000 (1 parcel in sale)",2050100.00,B2W,Dartmouth South,Halifax
"22 Lynnett Rd, Halifax",Primary market,1971,6,6,,,,,"2023: $415,700; 2022: $407,200; 2021: $366,100; 2020: $320,500; 2019: $338,000","2020: $850,000 (2 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"22 Meadowbrook Dr, Bedford",Primary market,1969,24,24,,,,,"2023: $1,822,300; 2022: $1,819,200; 2021: $1,721,500; 2020: $1,452,700; 2019: $1,491,800",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
"22 Murray Hill Dr, Dartmouth",Primary market,1954,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050102.00,B2Y,Dartmouth South,Halifax
"22 Randall Ave, Halifax",Primary market,1966,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400",,2050025.01,B3M,Mainland North,Halifax
"22 River Rd, Halifax",Primary market,1970,33,33,,,,,"2023: $1,922,400; 2022: $1,945,000; 2021: $1,827,400; 2020: $1,522,900; 2019: $1,592,500","2020: $2,102,200 (6 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"220 Prince Arthur Ave, Dartmouth",Primary market,1955,7,7,,,,,"2023: $751,400; 2022: $701,200; 2021: $667,200; 2020: $554,600; 2019: $544,100",,2050101.00,B2Y,Dartmouth South,Halifax
"220 Spencer Ave, Halifax",Primary market,1970,6,6,,1,Renovation,2021,"2023: $493,300; 2022: $407,200; 2021: $366,100; 2020: $320,400; 2019: $338,000","2021: $555,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"221 Rutledge St, Bedford",Primary market,1982,12,12,,,,,"2023: $924,700; 2022: $923,100; 2021: $822,000; 2020: $776,700; 2019: $754,000",,2050123.05,B4A,Bedford,Halifax
"2213 Brunswick St, Halifax",Primary market,,8,8,,,,,"2023: $1,082,900; 2022: $969,400; 2021: $873,400; 2020: $782,900; 2019: $769,800",,2050010.00,B3K,Peninsula North,Halifax
"222 Crown Dr, Halifax",Primary market,2006,15,15,,1,Renovation,2023,"2023: $2,551,100; 2022: $2,075,200; 2021: $2,159,800; 2020: $2,116,100; 2019: $2,052,100","2019: $2,500,000 (1 parcel in sale)",2050017.00,B3N,Mainland North,Halifax
"222 Herring Cove Rd, Halifax",Primary market,1974,23,23,,,,,"2023: $1,108,000; 2022: $1,012,900; 2021: $954,300; 2020: $791,400; 2019: $770,300",,2050014.00,B3P,Mainland South,Halifax
"222 Portland St, Dartmouth",Primary market,2012,69,69,,,,,"2023: $11,500,700; 2022: $10,896,600; 2021: $10,494,900; 2020: $10,302,300; 2019: $9,623,200","2019: $10,700,000 (1 parcel in sale)",2050102.00,B2Y,Dartmouth South,Halifax
"2225 Monastery Lane, Halifax",Primary market,1978,100,100,,,,,"2023: $16,627,400; 2022: $14,455,400; 2021: $13,931,400; 2020: $13,150,000; 2019: $11,976,900",,2050011.00,B3L,Peninsula North,Halifax
"223 Windmill Rd, Dartmouth",Primary market,1977,132,132,,,,,"2023: $11,687,500; 2022: $8,655,600; 2021: $8,052,900; 2020: $8,083,900; 2019: $7,701,400",,2050111.00,B3A,Dartmouth North,Halifax
"2232 Quinn St, Halifax",Primary market,1986,6,6,,,,,"2023: $1,203,600; 2022: $1,163,200; 2021: $1,172,500; 2020: $1,207,600; 2019: $1,150,300",,2050013.00,B3L,Peninsula South,Halifax
"2237 Brunswick St, Halifax",Primary market,1850,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050010.00,B3K,Peninsula North,Halifax
"22456 Highway 7, Sheet Harbour",Primary market,,8,8,,,,,"2023: $393,100; 2022: $361,500; 2021: $290,900; 2020: $232,300; 2019: $237,400",,2050154.00 (2006-2015); 2050154.04 (2016-2022),,Remainder of CMA,Halifax
"226 Spencer Ave, Halifax",Primary market,1966,6,6,1,,,,"2023: $493,300; 2022: $447,500; 2021: $366,100; 2020: $320,400; 2019: $338,000","2020: $457,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"2267 Brunswick St, Halifax",Primary market,,12,12,,,,,"2023: $1,819,600; 2022: $1,829,600; 2021: $1,928,500; 2020: $1,865,600; 2019: $1,832,900",,2050010.00,B3K,Peninsula North,Halifax
"228 Victoria Rd, Dartmouth",Primary market,1960,8,8,,,,,"2023: $633,700; 2022: $613,400; 2021: $507,100; 2020: $410,700; 2019: $392,600",,2050109.00,B3A,Dartmouth North,Halifax
"2287 Lawrencetown Rd, Lawrencetown",Primary market,1940,4,4,,,,,"2023: $419,500; 2022: $329,900; 2021: $311,400; 2020: $271,800; 2019: $267,500","2021: $437,000 (1 parcel in sale)",2050150.02,B2Z,Remainder of CMA,Halifax
"229 Spencer Ave, Halifax",Primary market,1969,6,6,,,,,"2023: $310,800; 2022: $274,300; 2021: $257,300; 2020: $237,100; 2019: $235,400","2021: $303,200 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"22A Lynnett Rd, Halifax",Primary market,1970,6,6,,,,,"2023: $415,700; 2022: $407,200; 2021: $366,100; 2020: $320,500; 2019: $338,000","2020: $850,000 (2 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"23 Best St, Dartmouth",Primary market,1962,6,6,,,,,"2023: $726,200; 2022: $708,200; 2021: $664,900; 2020: $455,100; 2019: $453,900","2019: $2,300,000 (5 parcels in sale)",2050110.00,B3A,Dartmouth North,Halifax
"23 Birch St, Bedford",Primary market,1970,18,18,,,,,"2023: $1,948,600; 2022: $1,845,300; 2021: $1,646,000; 2020: $1,616,300; 2019: $1,456,800","2020: $1,920,000 (1 parcel in sale)",2050123.02,B4A,Bedford,Halifax
"23 Crystal Dr, Dartmouth",Primary market,1976,15,15,,,,,"2023: $1,253,200; 2022: $1,236,400; 2021: $1,047,700; 2020: $588,500; 2019: $597,200","2019: $640,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"23 Dakin Dr, Halifax",Primary market,,5,5,,,,,"2023: $686,400; 2022: $635,400; 2021: $612,000; 2020: $583,800; 2019: $573,000",2019: $0 (1 parcel in sale),2050027.00,B3M,Mainland North,Halifax
"23 Farrell St, Dartmouth",Primary market,1976,12,12,,,,,"2023: $753,300; 2022: $632,300; 2021: $627,700; 2020: $547,500; 2019: $573,100",,2050112.00,B3A,Dartmouth North,Halifax
"23 Glenmoir Terrace, Bedford",Primary market,1972,28,28,,,,,"2023: $2,551,900; 2022: $2,547,700; 2021: $2,238,700; 2020: $1,907,500; 2019: $1,837,500",,2050123.06,B4A,Bedford,Halifax
"23 Gristmill Crt, Halifax",Primary market,1979,28,28,,,,,"2023: $3,484,600; 2022: $2,885,400; 2021: $2,757,100; 2020: $2,546,900; 2019: $2,528,500",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"23 Main Ave, Halifax",Primary market,1962,12,12,,,,,"2023: $759,300; 2022: $741,500; 2021: $744,200; 2020: $721,700; 2019: $659,900","2022: $1,874,000 (1 parcel in sale)",2050025.02,B3M,Mainland North,Halifax
"23 Mandaville Crt, Halifax",Primary market,1972,22,22,,,,,"2023: $1,503,700; 2022: $1,450,300; 2021: $1,461,900; 2020: $1,455,400; 2019: $1,300,500",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"23 Trinity Ave, Dartmouth",Primary market,,20,20,,,,,"2023: $1,841,100; 2022: $1,689,300; 2021: $1,663,000; 2020: $1,500,700; 2019: $1,440,600",,2050112.00,B3A,Dartmouth North,Halifax
"23 Westgrove Pl, Halifax",Primary market,1974,22,22,,,,,"2023: $2,144,300; 2022: $2,029,900; 2021: $1,950,500; 2020: $1,943,800; 2019: $1,898,700",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"230 Larry Uteck Blvd, Halifax",Primary market,2020,192,192,,,,,"2023: $52,254,900; 2022: $47,845,300; 2021: $42,535,600; 2020: $20,242,400; 2019: $11,360,000",,2050027.00,B3M,Mainland North,Halifax
"230 Ross St, Halifax",Primary market,1985,16,16,,,,,"2023: $1,927,500; 2022: $1,705,600; 2021: $1,492,300; 2020: $1,519,000; 2019: $1,426,900",,2050026.01 (2006-2010); 2050026.03 (2011-2022),B3M,Mainland North,Halifax
"230 Victoria Rd, Dartmouth",Primary market,1957,6,6,,,,,"2023: $599,100; 2022: $534,100; 2021: $469,600; 2020: $460,400; 2019: $420,100",,2050109.00,B3A,Dartmouth North,Halifax
"2308 Maynard St, Halifax",Primary market,1985,5,5,,,,,"2023: $444,800; 2022: $413,700; 2021: $392,900; 2020: $380,100; 2019: $373,000",,2050010.00,B3K,Peninsula North,Halifax
"2309 Brunswick St, Halifax",Primary market,1972,511,511,,,,,"2023: $43,134,800; 2022: $41,870,700; 2021: $36,851,800; 2020: $36,414,000; 2019: $36,429,600",,2050010.00,B3K,Peninsula North,Halifax
"2313 Creighton St, Halifax",Primary market,,4,4,,,,,"2023: $1,040,000; 2022: $366,500; 2021: $322,900; 2020: $314,400; 2019: $309,100","2021: $960,000 (1 parcel in sale)",2050010.00,B3K,Peninsula North,Halifax
"232 Victoria Rd, Dartmouth",Primary market,1957,6,6,,,,,"2023: $602,000; 2022: $539,300; 2021: $469,000; 2020: $442,900; 2019: $418,000",,2050109.00,B3A,Dartmouth North,Halifax
"2322 Hunter St, Halifax",Primary market,1943,6,6,,,,,"2023: $1,536,900; 2022: $975,000; 2021: $853,200; 2020: $845,800; 2019: $803,700","2022: $1,700,000 (1 parcel in sale); 2021: $1,700,000 (1 parcel in sale)",2050011.00,B3K,Peninsula North,Halifax
"234 Spencer Ave, Halifax",Primary market,1970,6,6,,,,,"2023: $363,700; 2022: $312,700; 2021: $294,600; 2020: $273,000; 2019: $276,200","2020: $726,000 (2 parcels in sale)",2050015.00,B3R,Mainland South,Halifax
"234 Victoria Rd, Dartmouth",Primary market,1957,6,6,,,,,"2023: $602,000; 2022: $539,300; 2021: $469,000; 2020: $442,900; 2019: $418,000",,2050109.00,B3A,Dartmouth North,Halifax
"2344 Hunter St, Halifax",Primary market,1977,27,27,,,,,"2023: $4,014,300; 2022: $3,326,200; 2021: $3,333,200; 2020: $3,236,900; 2019: $3,036,500","2019: $5,250,000 (2 parcels in sale)",2050011.00,B3K,Peninsula North,Halifax
"235 Baker Dr, Dartmouth",Primary market,2012,96,96,,1,Renovation,2022,"2023: $21,564,700; 2022: $21,692,600; 2021: $19,720,200; 2020: $19,173,600; 2019: $18,361,900",,2050100.00,B2W,Dartmouth South,Halifax
